No,Nama Motor,Usia Motor (tahun),Jarak Tempuh (km),Gejala Kerusakan,Kelas Perawatan Kebutuhan,Komponen yang Diperiksa,Harga (Rp)
1,Honda Supra X Helm-In,1,16903,Oli bocor,Sedang,"CVT, roller","Rp 758,452"
2,Honda Revo Fit,2,36341,Rantai longgar,Sedang,"Oli mesin, busi","Rp 768,171"
3,Honda Beat,6,52591,Knalpot berasap,Ringan,"CVT, roller","Rp 276,296"
4,Honda Supra GTR,5,80673,CVT licin,Ringan,"Radiator, piston","Rp 290,337"
5,Honda Beat CBS,5,64495,Rem kurang pakem,Sedang,"Busi, klep","Rp 782,248"
6,Honda Scoopy Stylish,7,66163,Rem kurang pakem,Ringan,"Oli mesin, busi","Rp 283,082"
7,Honda Revo Fit,7,71281,Tarikan berat,Ringan,"Oli mesin, busi","Rp 285,641"
8,Honda Beat CBS,2,20129,Mesin panas,Ringan,"Oli mesin, busi","Rp 260,065"
9,Honda Vario 125,1,60773,Oli bocor,Sedang,"Aki, kiprok","Rp 780,387"
10,Honda Supra X 125,8,82057,Oli bocor,Ringan,"Oli mesin, busi","Rp 291,029"
11,Honda Vario 150,1,72457,Tarikan berat,Ringan,"Aki, kiprok","Rp 286,229"
12,Honda Beat,7,45658,Aki soak,Tinggi,"Filter udara, oli mesin","Rp 1,522,829"
13,Honda Supra GTR,4,55962,Oli bocor,Sedang,"Kampas rem, oli rem","Rp 777,981"
14,Honda Supra X 125,5,14217,Getaran CVT,Ringan,"CVT, roller","Rp 257,109"
15,Honda Scoopy Stylish,3,27507,Lampu redup,Ringan,"Oli mesin, busi","Rp 263,754"
16,Honda Vario 150,5,30972,Rem kurang pakem,Tinggi,"Busi, klep","Rp 1,515,486"
17,Honda Vario 125,6,80892,Knalpot berasap,Tinggi,"Filter udara, oli mesin","Rp 1,540,446"
18,Honda PCX Hybrid,3,48300,Oli bocor,Tinggi,"Kampas rem, oli rem","Rp 1,524,150"
19,Honda PCX,1,37064,Mesin panas,Ringan,"Kampas rem, oli rem","Rp 268,532"
20,Honda CBR 250RR,8,82397,Tarikan berat,Ringan,"V-belt, grease roller","Rp 291,199"
21,Honda Supra X Helm-In,8,8620,Suara kasar,Ringan,"V-belt, grease roller","Rp 254,310"
22,Honda Scoopy,1,49040,Mesin bergetar,Tinggi,"Aki, kiprok","Rp 1,524,520"
23,Honda Vario 125,3,26196,Mesin bergetar,Ringan,"Aki, kiprok","Rp 263,098"
